Ticker,Report Date,Publish Date,Revenue,Net Income,Operating Income (Loss)
AMD,2011-09-30,2011-11-09,1690000000,97000000,138000000
AMD,2011-12-31,2012-02-24,1691000000,-177000000,169000000
AMD,2012-03-31,2012-05-09,1585000000,-590000000,-572000000
AMD,2012-06-30,2012-08-02,1413000000,37000000,77000000
AMD,2012-09-30,2012-11-01,1269000000,-157000000,-128000000
AMD,2012-12-31,2013-02-21,1155000000,-473000000,-333000000
AMD,2013-03-31,2013-05-06,1088000000,-146000000,-51000000
AMD,2013-06-30,2013-08-01,1161000000,-74000000,-24000000
AMD,2013-09-30,2013-10-30,1461000000,48000000,73000000
AMD,2013-12-31,2014-02-18,1589000000,89000000,87000000
AMD,2014-03-31,2014-05-01,1397000000,-20000000,49000000
AMD,2014-06-30,2014-07-31,1441000000,-36000000,63000000
AMD,2014-09-30,2014-10-30,1429000000,17000000,63000000
AMD,2014-12-31,2015-02-19,1239000000,-364000000,-26000000
AMD,2015-03-31,2015-04-29,1030000000,-180000000,-50000000
AMD,2015-06-30,2015-07-30,942000000,-181000000,-137000000
AMD,2015-09-30,2015-11-03,1061000000,-197000000,-110000000
AMD,2015-12-31,2016-02-18,958000000,-102000000,-55000000
AMD,2016-03-31,2016-04-28,832000000,-109000000,-78000000
AMD,2016-06-30,2016-07-26,1027000000,69000000,-41000000
AMD,2016-09-30,2016-10-26,1307000000,-406000000,-317000000
AMD,2016-12-31,2017-02-21,1106000000,-51000000,-34000000
AMD,2017-03-31,2017-05-08,984000000,-73000000,-56000000
AMD,2017-06-30,2017-08-03,1222000000,-16000000,0
AMD,2017-09-30,2017-11-02,1643000000,71000000,126000000
AMD,2017-12-31,2018-02-27,1480000000,61000000,82000000
AMD,2018-03-31,2018-05-03,1647000000,81000000,120000000
AMD,2018-06-30,2018-08-02,1756000000,116000000,153000000
AMD,2018-09-30,2018-10-31,1653000000,102000000,150000000
AMD,2018-12-31,2019-02-08,1419000000,38000000,28000000
AMD,2019-03-31,2019-05-01,1272000000,16000000,-22000000
AMGN,2009-06-30,2009-08-06,3713000000,1269000000,1457000000
AMGN,2009-09-30,2009-11-06,3812000000,1386000000,1605000000
AMGN,2009-12-31,2010-02-06,3809000000,931000000,1123000000
AMGN,2010-03-31,2010-05-07,3592000000,1167000000,1481000000
AMGN,2010-06-30,2010-08-09,3804000000,1202000000,1517000000
AMGN,2010-09-30,2010-11-08,3816000000,1236000000,1479000000
AMGN,2010-12-31,2011-02-25,3841000000,1022000000,1068000000
AMGN,2011-03-31,2011-05-10,3706000000,1125000000,1293000000
AMGN,2011-06-30,2011-08-08,3959000000,1170000000,1332000000
AMGN,2011-09-30,2011-11-04,3944000000,454000000,525000000
AMGN,2011-12-31,2012-02-29,3973000000,934000000,1162000000
AMGN,2012-03-31,2012-05-08,4048000000,1184000000,1477000000
AMGN,2012-06-30,2012-08-08,4477000000,1266000000,1589000000
AMGN,2012-09-30,2012-11-06,4319000000,1107000000,1423000000
AMGN,2012-12-31,2013-02-27,4421000000,788000000,1088000000
AMGN,2013-03-31,2013-05-03,4238000000,1434000000,1442000000
AMGN,2013-06-30,2013-08-06,4679000000,1258000000,1550000000
AMGN,2013-09-30,2013-10-29,4748000000,1368000000,1688000000
AMGN,2013-12-31,2014-02-24,5011000000,1021000000,1187000000
AMGN,2014-03-31,2014-04-30,4521000000,1073000000,1364000000
AMGN,2014-06-30,2014-08-05,5180000000,1547000000,1902000000
AMGN,2014-09-30,2014-10-29,5031000000,1244000000,1466000000
AMGN,2014-12-31,2015-02-19,5331000000,1294000000,1459000000
AMGN,2015-03-31,2015-04-27,5033000000,1623000000,2022000000
AMGN,2015-06-30,2015-08-05,5370000000,1653000000,2076000000
AMGN,2015-09-30,2015-11-02,5723000000,1863000000,2339000000
AMGN,2015-12-31,2016-02-16,5536000000,1800000000,2033000000
AMGN,2016-03-31,2016-05-02,5527000000,1900000000,2402000000
AMGN,2016-06-30,2016-07-29,5688000000,1870000000,2380000000
AMGN,2016-09-30,2016-10-28,5811000000,2017000000,2527000000
AMGN,2016-12-31,2017-02-14,5965000000,1935000000,2485000000
AMGN,2017-03-31,2017-04-27,5464000000,2071000000,2591000000
AMGN,2017-06-30,2017-07-26,5810000000,2151000000,2698000000
AMGN,2017-09-30,2017-10-26,5773000000,2021000000,2439000000
AMGN,2017-12-31,2018-02-13,5802000000,-4264000000,2245000000
AMGN,2018-03-31,2018-04-25,5554000000,2311000000,2726000000
AMGN,2018-06-30,2018-07-27,6059000000,2296000000,2832000000
AMGN,2018-09-30,2018-10-31,5904000000,1859000000,2323000000
AMGN,2018-12-31,2019-02-13,6230000000,1928000000,2382000000
AMGN,2019-03-31,2019-05-01,5557000000,1992000000,2472000000
AMZN,2009-06-30,2009-07-24,4651000000,142000000,159000000
AMZN,2009-09-30,2009-10-23,5449000000,199000000,251000000
AMZN,2009-12-31,2010-01-23,9520000000,384000000,475000000
AMZN,2010-03-31,2010-04-23,7131000000,299000000,394000000
AMZN,2010-06-30,2010-07-23,6566000000,207000000,270000000
AMZN,2010-09-30,2010-10-22,7560000000,231000000,268000000
AMZN,2010-12-31,2011-01-28,12947000000,415000000,474000000
AMZN,2011-03-31,2011-04-27,9857000000,201000000,322000000
AMZN,2011-06-30,2011-07-27,9913000000,191000000,201000000
AMZN,2011-09-30,2011-10-26,10876000000,63000000,79000000
AMZN,2011-12-31,2012-02-01,17431000000,176000000,260000000
AMZN,2012-03-31,2012-04-27,13185000000,130000000,192000000
AMZN,2012-06-30,2012-07-27,12834000000,7000000,107000000
AMZN,2012-09-30,2012-10-26,13806000000,-274000000,-28000000
AMZN,2012-12-31,2013-01-30,21268000000,98000000,405000000
AMZN,2013-03-31,2013-04-26,16070000000,82000000,181000000
AMZN,2013-06-30,2013-07-26,15704000000,-7000000,79000000
AMZN,2013-09-30,2013-10-25,17092000000,-41000000,-25000000
AMZN,2013-12-31,2014-01-31,25586000000,240000000,510000000
AMZN,2014-03-31,2014-04-25,19741000000,108000000,146000000
AMZN,2014-06-30,2014-07-25,19340000000,-126000000,-15000000
AMZN,2014-09-30,2014-10-24,20579000000,-437000000,-544000000
AMZN,2014-12-31,2015-01-30,29328000000,214000000,591000000
AMZN,2015-03-31,2015-04-24,22717000000,-57000000,255000000
AMZN,2015-06-30,2015-07-24,23185000000,92000000,464000000
AMZN,2015-09-30,2015-10-23,25358000000,79000000,406000000
AMZN,2015-12-31,2016-01-29,35746000000,482000000,1108000000
AMZN,2016-03-31,2016-04-29,29128000000,513000000,1071000000
AMZN,2016-06-30,2016-07-29,30404000000,857000000,1285000000
AMZN,2016-09-30,2016-10-28,32714000000,252000000,575000000
AMZN,2016-12-31,2017-02-10,43741000000,749000000,1255000000
AMZN,2017-03-31,2017-04-28,35714000000,724000000,1005000000
AMZN,2017-06-30,2017-07-28,37955000000,197000000,628000000
AMZN,2017-09-30,2017-10-27,43744000000,256000000,347000000
AMZN,2017-12-31,2018-02-02,60453000000,1856000000,2126000000
AMZN,2018-03-31,2018-04-27,51042000000,1629000000,1927000000
AMZN,2018-06-30,2018-07-27,52886000000,2534000000,2983000000
AMZN,2018-09-30,2018-10-26,56576000000,2883000000,3724000000
AMZN,2018-12-31,2019-02-01,72383000000,3027000000,3787000000
AMZN,2019-03-31,2019-04-26,59700000000,3561000000,4420000000
APA,2009-06-30,2009-08-06,2093378000,444720000,874421000
APA,2009-09-30,2009-11-06,2332431000,442016000,958343000
APA,2009-12-31,2010-02-06,2555366000,585204000,1208402000
APA,2010-03-31,2010-05-07,2673000000,705000000,1290000000
APA,2010-06-30,2010-08-17,2972000000,860000000,1483000000
APA,2010-09-30,2010-11-09,3013000000,778000000,1429000000
APA,2010-12-31,2011-04-07,3434000000,689000000,1527000000
APA,2011-03-31,2011-05-09,3925000000,1134000000,2014000000
APA,2011-06-30,2011-08-08,4338000000,1259000000,2216000000
APA,2011-09-30,2011-11-08,4328000000,1002000000,2174000000
APA,2011-12-31,2012-02-29,4297000000,1189000000,2021000000
APA,2012-03-31,2012-05-08,4536000000,797000000,1661000000
APA,2012-06-30,2012-08-07,3972000000,356000000,929000000
APA,2012-09-30,2012-11-07,4179000000,180000000,972000000
APA,2012-12-31,2013-03-01,3877000000,668000000,1709000000
APA,2013-03-31,2013-05-09,3946000000,717000000,1498000000
APA,2013-06-30,2013-08-06,4268000000,1035000000,1764000000
APA,2013-09-30,2013-11-08,3900000000,306000000,756000000
APA,2013-12-31,2014-02-28,2324000000,174000000,363000000
